id,title,genres,vote_average,vote_count,revenue,release_date,image_width,image_height
266856,The Theory of Everything,"['Drama', 'Romance']",7.833,11057,123726688,2014-11-07,500,750
628704,Midnight,"['Thriller', 'Crime']",7.2,307,0,2021-06-30,500,750
16907,Naruto the Movie: Ninja Clash in the Land of Snow,"['Comedy', 'Action', 'Animation', 'Adventure']",7.297,605,11141307,2004-08-21,500,750
926762,Living with Chucky,"['Documentary', 'Horror']",6.5,49,0,2022-08-13,500,750
578701,Those Who Wish Me Dead,"['Thriller', 'Action']",6.607,1805,23384502,2021-05-05,500,750
3131,Gangs of New York,"['Drama', 'History', 'Crime']",7.315,7146,193772504,2002-12-14,500,750
7214,Coach Carter,"['Drama', 'History']",7.57,3238,76669554,2005-01-14,500,750
11621,Porco Rosso,"['Animation', 'Adventure', 'Fantasy']",7.795,3671,44600000,1992-07-18,500,750
82633,Lawless,"['Crime', 'Drama', 'Western']",7.07,3304,55404207,2012-08-29,500,750
1645,A Time to Kill,"['Crime', 'Drama', 'Thriller']",7.4,2915,152266007,1996-07-24,500,750
672582,The Deep House,"['Horror', 'Mystery']",5.985,1089,1899068,2021-06-30,500,750
814338,Lady Chatterley's Lover,"['Drama', 'Romance']",6.671,508,0,2022-11-22,500,710
885243,Oh My Goodness!,['Comedy'],5.1,51,0,2023-02-15,500,750
872177,Corrective Measures,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",5.0,109,34489,2022-04-29,500,750
926924,One Hell of a Holiday!,['Comedy'],5.5,28,0,2023-04-21,500,750
567609,Ready or Not,"['Horror', 'Comedy']",7.0,5244,57615777,2019-08-21,500,750
1154686,Mr. Dressup: The Magic of Make Believe,['Documentary'],7.3,6,0,2023-09-08,500,750
15,Citizen Kane,"['Mystery', 'Drama']",7.979,5995,23218000,1941-04-17,500,750
1597,Meet the Parents,"['Comedy', 'Romance']",6.693,6331,330444045,2000-10-06,500,750
4564,Sex and the City,"['Comedy', 'Drama', 'Romance']",6.6,2249,418800000,2008-05-12,500,750
274870,Passengers,"['Drama', 'Romance', 'Science Fiction']",6.952,14126,303144152,2016-12-21,500,750
180,Minority Report,"['Science Fiction', 'Action', 'Thriller']",7.352,9519,358372926,2002-06-20,500,750
1885,The Karate Kid,"['Action', 'Drama']",7.218,4654,91138075,1984-06-22,500,750
636879,A Nun's Curse,['Horror'],6.4,200,0,2020-05-12,500,750
788752,Viking Wolf,"['Horror', 'Thriller', 'Mystery']",5.786,364,0,2022-11-18,500,750
711642,Bosomy Backhouse Girl,['Romance'],5.0,3,0,2020-05-27,500,750
830896,The Portable Door,"['Fantasy', 'Adventure', 'Comedy']",6.468,265,0,2023-03-23,500,750
395,AVP: Alien vs. Predator,"['Adventure', 'Science Fiction', 'Action', 'Horror']",5.944,4897,177427090,2004-08-12,500,750
884363,Togo,"['Crime', 'Drama']",6.31,71,0,2022-10-05,500,750
931599,Silip Sa Apoy,"['Drama', 'Thriller']",5.7,34,0,2022-01-28,500,749
619778,Malignant,"['Horror', 'Mystery']",6.749,2582,34891791,2021-09-01,500,750
627,Trainspotting,"['Drama', 'Crime']",7.96,10323,71981823,1996-02-23,500,750
324849,The Lego Batman Movie,"['Animation', 'Action', 'Comedy', 'Family']",7.236,5356,311950384,2017-02-08,500,750
114150,Pitch Perfect,"['Comedy', 'Music', 'Romance']",7.274,6828,115647426,2012-09-28,500,750
609,Poltergeist,['Horror'],7.155,3289,121733131,1982-06-04,500,750
252838,The Wedding Ringer,['Comedy'],6.465,1677,79799880,2015-01-16,500,750
10214,Son of the Mask,"['Fantasy', 'Comedy', 'Family', 'Adventure']",4.2,1949,59918422,2005-02-11,500,750
7551,Déjà Vu,"['Action', 'Thriller', 'Science Fiction']",6.878,5225,180557550,2006-11-22,500,750
1046120,The Shade,"['Drama', 'Horror', 'Thriller']",5.2,15,0,2024-09-20,500,750
776503,CODA,"['Drama', 'Music', 'Romance']",7.891,2547,1905058,2021-08-13,500,750
792775,Cop Secret,"['Comedy', 'Action', 'Thriller']",6.0,90,0,2022-05-23,500,750
454640,The Angry Birds Movie 2,"['Animation', 'Adventure', 'Comedy', 'Family']",7.045,1859,137792047,2019-08-02,500,750
301337,Downsizing,"['Drama', 'Science Fiction', 'Comedy']",5.399,4072,55003890,2017-12-22,500,750
11690,Bloodsport,"['Action', 'Thriller', 'Drama']",7.02,2108,63500000,1988-02-26,500,736
558,Spider-Man 2,"['Action', 'Adventure', 'Science Fiction']",7.303,16208,788976453,2004-06-25,500,750
755,From Dusk Till Dawn,"['Horror', 'Action', 'Thriller', 'Crime']",7.0,6439,25800000,1996-01-19,500,750
460019,Truth or Dare,"['Thriller', 'Horror']",5.937,4195,95330493,2018-04-12,500,750
834,Underworld: Evolution,"['Fantasy', 'Action', 'Thriller']",6.603,4334,111476513,2006-01-12,500,750
11774,Lemony Snicket's A Series of Unfortunate Events,"['Adventure', 'Comedy', 'Family']",6.818,5251,209073645,2004-12-16,500,713
8202,Æon Flux,"['Science Fiction', 'Action', 'Thriller']",5.6,2428,53321673,2005-11-30,500,750
643586,Willy's Wonderland,"['Horror', 'Thriller']",5.965,1118,431020,2021-02-12,500,750
474392,Samson,"['Action', 'Drama', 'Adventure']",5.736,250,4900000,2018-02-16,500,750
9804,Waterworld,"['Adventure', 'Action', 'Science Fiction']",6.222,4023,264218220,1995-07-28,500,750
883502,Fortress: Sniper's Eye,"['Action', 'Thriller', 'Crime']",5.2,176,69075,2022-04-29,500,750
851281,Monster Hunter: Legends of the Guild,"['Animation', 'Adventure', 'Action', 'Fantasy']",5.7,92,0,2021-08-12,500,750
805327,Look Both Ways,"['Romance', 'Drama', 'Comedy']",6.853,717,0,2022-08-16,500,750
723347,Robots,"['Comedy', 'Science Fiction', 'Romance', 'Fantasy']",5.559,247,0,2023-04-26,500,750
637920,Miracle in Cell No. 7,['Drama'],8.253,4540,28000000,2019-10-10,500,750
702936,Sniper: Assassin's End,['Action'],6.254,242,68881,2020-06-15,500,750
809787,Mafia Mamma,"['Comedy', 'Crime', 'Action']",6.07,306,3900000,2023-04-13,500,750
845222,Kingdom: Ashin of the North,"['Drama', 'Fantasy', 'Thriller']",7.086,612,0,2021-07-23,500,750
831946,Interceptor,"['Action', 'Thriller', 'Adventure']",6.021,815,0,2022-05-26,500,750
931954,Venus,"['Drama', 'Horror', 'Thriller']",6.186,271,0,2022-12-02,500,750
644495,House of Gucci,"['Drama', 'Crime', 'History']",6.566,3409,153235995,2021-11-24,500,750
887394,Ghost Adventures: Goldfield Hotel,"['Documentary', 'TV Movie', 'Science Fiction']",8.6,5,0,2023-10-03,500,750
9366,Donnie Brasco,"['Crime', 'Drama', 'Thriller']",7.539,4808,124909762,1997-02-27,500,750
329,Jurassic Park,"['Adventure', 'Science Fiction']",7.966,17709,920100000,1993-06-11,500,750
17578,The Adventures of Tintin,"['Adventure', 'Animation', 'Mystery']",6.919,5759,373993951,2011-10-24,500,750
949903,Apaches: Gang of Paris,"['Drama', 'Thriller']",6.0,124,0,2023-03-29,500,750
928773,Whisper,"['Horror', 'Thriller']",6.4,61,0,2022-01-23,500,705
723072,Host,['Horror'],6.483,1086,443807,2020-12-04,500,750
